家賃（円）,管理費（円）,家賃+管理費,敷金（円）,敷金（◯ヶ月分）,礼金（円）,礼金（◯ヶ月分）,間取り,面積（m2）,向き,タイプ,築年数,地区,駅・バス停までの時間（徒歩、分）,最寄り駅・バス停
41000,11500,52500,70000,1.71,130000,3.170731707,1K,20,西,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
45500,11500,57000,70000,1.54,130000,2.857142857,1K,20,東,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
46000,11500,57500,70000,1.52,130000,2.826086957,1K,20,北,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
46000,0,46000,100000,2.17,0,0,3DK,65,東,一戸建て,36,石川県野々市市扇が丘,12,北陸鉄道石川線/野々市工大前駅 
47500,11500,59000,70000,1.47,130000,2.736842105,1K,19.1,北,マンション,3,石川県野々市市高橋町,3,北陸鉄道石川線/野々市工大前駅
35000,3000,38000,0,0.00,0,0,2K,25.73,南,マンション,25,石川県野々市市住吉町,5,北陸鉄道石川線/野々市工大前駅
48000,2500,50500,96000,2.00,0,0,2LDK,55.38,南,アパート,26,石川県野々市市本町２,5,北陸鉄道石川線/野々市工大前駅
47000,11500,58500,70000,1.49,130000,2.765957447,1R,16.5,東,マンション,5,石川県野々市市高橋町,14,北陸鉄道石川線/野々市工大前駅 
49500,11500,61000,70000,1.41,130000,2.626262626,1K,20.7,南,マンション,3,石川県野々市市高橋町,3,北陸鉄道石川線/野々市工大前駅
49500,11500,61000,70000,1.41,130000,2.626262626,1K,19.1,南,マンション,3,石川県野々市市高橋町,3,北陸鉄道石川線/野々市工大前駅
47500,11500,59000,70000,1.47,130000,2.736842105,1R,16.5,東,マンション,5,石川県野々市市高橋町,14,北陸鉄道石川線/野々市工大前駅 
53000,11500,64500,70000,1.32,130000,2.452830189,1K,30,南,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
48500,11500,60000,70000,1.44,130000,2.680412371,1R,20,南,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
49500,11500,61000,70000,1.41,130000,2.626262626,1R,20,南,マンション,2,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
39000,5000,44000,70000,1.79,80000,2.051282051,1K,26.74,北,マンション,23,石川県野々市市本町１,3,北陸鉄道石川線/野々市工大前駅
40000,2000,42000,80000,2.00,0,0,2K,38.64,南,アパート,29,石川県野々市市住吉町,6,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
55000,3000,58000,110000,2.00,0,0,2DK,52.15,南,マンション,25,石川県野々市市住吉町,8,北陸鉄道石川線/野々市工大前駅
48000,4000,52000,0,0.00,48000,1,1R,29.81,西,アパート,2,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
36500,6500,43000,70000,1.92,80000,2.191780822,1K,18.9,南,マンション,31,石川県金沢市横川１,9,北陸鉄道石川線/野々市工大前駅
36500,6500,43000,70000,1.92,80000,2.191780822,1K,18.9,南,マンション,31,石川県金沢市横川１,9,北陸鉄道石川線/野々市工大前駅
36500,6500,43000,70000,1.92,80000,2.191780822,1K,18.9,東,マンション,31,石川県金沢市横川１,9,北陸鉄道石川線/野々市工大前駅
44000,6500,50500,70000,1.59,80000,1.818181818,1K,37.8,西,マンション,31,石川県金沢市横川１,9,北陸鉄道石川線/野々市工大前駅
49000,4000,53000,0,0.00,49000,1,1R,29.19,東,アパート,2,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
32000,4000,36000,32000,1.00,0,0,1K,22.82,北,アパート,18,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
33000,4000,37000,70000,2.12,50000,1.515151515,1K,23.18,南,アパート,33,石川県野々市市菅原町,10,北陸鉄道石川線/野々市工大前駅 
37000,4500,41500,70000,1.89,80000,2.162162162,1R,23.3,東,マンション,30,石川県野々市市本町３,7,北陸鉄道石川線/野々市工大前駅
36500,4500,41000,70000,1.92,80000,2.191780822,1R,23.3,西,マンション,30,石川県野々市市本町３,7,北陸鉄道石川線/野々市工大前駅
52000,2000,54000,104000,2.00,0,0,2DK,46,南,アパート,33,石川県野々市市本町４,14,北陸鉄道石川線/野々市工大前駅 
34000,1300,35300,68000,2.00,0,0,1K,29.8,南,アパート,23,石川県野々市市本町２,3,北陸鉄道石川線/野々市工大前駅
35500,4500,40000,70000,1.97,80000,2.253521127,1R,23.3,西,マンション,30,石川県野々市市本町３,7,北陸鉄道石川線/野々市工大前駅
34000,4500,38500,70000,2.06,80000,2.352941176,1R,23.3,東,マンション,30,石川県野々市市本町３,7,北陸鉄道石川線/野々市工大前駅
30000,2000,32000,45000,1.50,0,0,2K,32.4,南,マンション,32,石川県野々市市住吉町,3,北陸鉄道石川線/野々市工大前駅
59000,5700,64700,59000,1.00,59000,1,1LDK,36.42,南,マンション,6,石川県野々市市本町４,3,北陸先端バス/野々市小学校前
36000,3500,39500,36000,1.00,0,0,1K,22.65,南,マンション,34,石川県野々市市本町１,5,北陸鉄道石川線/野々市工大前駅
45500,2000,47500,0,0.00,0,0,3DK,53.23,南,アパート,30,石川県野々市市扇が丘,12,北陸鉄道石川線/馬替駅 
31000,2500,33500,62000,2.00,0,0,1K,19.87,南,アパート,32,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
30000,5000,35000,60000,2.00,0,0,1K,24.78,南,アパート,35,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
43000,4500,47500,0,0.00,0,0,1K,25.37,-,アパート,8,石川県野々市市住吉町,10,北陸鉄道石川線/野々市工大前駅 
55000,2500,57500,0,0.00,0,0,2LDK,56.53,南,アパート,25,石川県野々市市住吉町,10,北陸鉄道石川線/野々市工大前駅 
45000,0,45000,0,0.00,0,0,3DK,52.35,西,マンション,34,石川県金沢市久安２,13,北陸鉄道石川線/野々市工大前駅 
44000,2000,46000,88000,2.00,44000,1,1K,28.93,南,アパート,7,石川県野々市市住吉町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,南,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,南,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,南,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
45000,3000,48000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,8,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,南,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
40000,2000,42000,80000,2.00,0,0,2K,38.64,南,アパート,29,石川県野々市市住吉町,6,北陸鉄道石川線/野々市工大前駅
40000,3000,43000,80000,2.00,0,0,1K,23,南西,マンション,20,石川県金沢市久安２,15,北陸鉄道石川線/野々市工大前駅 
40000,3000,43000,80000,2.00,0,0,1K,23,南西,マンション,20,石川県金沢市久安２,15,北陸鉄道石川線/野々市工大前駅 
