"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.229583217E-3,-2.933898926E-2,1.170565796E-1,9.369765472E0
1.220258325E-2,-1.302291870E-2,1.683998108E-1,8.966204681E0
2.217558329E-2,-4.340972900E-3,1.751358032E-1,8.844058685E0
3.214858333E-2,-0.000000000E0,1.290316772E-1,9.183552704E0
4.212158313E-2,-1.586700439E-2,4.191284180E-2,9.622739410E0
5.209458317E-2,-4.041595459E-3,-2.499801636E-2,9.902507629E0
6.206758320E-2,-1.002914429E-2,-8.397537231E-2,1.008078690E1
7.204058324E-2,-1.182540894E-2,-1.047821045E-1,1.018003052E1
8.201358328E-2,-5.538482666E-3,-1.023870850E-1,1.015353561E1
9.198658331E-2,-5.688171387E-3,-7.155120850E-2,9.965975647E0
1.019595831E-1,-1.047821045E-2,-1.511856079E-2,9.730215912E0
1.119325832E-1,-1.392105103E-2,4.251159668E-2,9.522447968E0
1.219055832E-1,-1.182540894E-2,7.529342651E-2,9.419162750E0
1.318785832E-1,-6.137237549E-3,8.741821289E-2,9.405990143E0
1.418515833E-1,-1.047821045E-2,5.343887329E-2,9.520052948E0
1.518245833E-1,-1.661544800E-2,1.077758789E-2,9.697284393E0
1.617975833E-1,-1.407073975E-2,-2.484832764E-2,9.845176849E0
1.717705831E-1,-2.993774414E-4,-5.074447632E-2,9.929601288E0
1.817435832E-1,-1.496887207E-4,-4.834945679E-2,9.917925568E0
1.917165832E-1,-4.640350342E-3,-3.173400879E-2,9.859546967E0
2.016895832E-1,-8.681945801E-3,-8.681945801E-3,9.765392761E0
2.116625833E-1,-5.239105225E-3,2.305206299E-2,9.655521240E0
2.216355833E-1,-4.490661621E-3,3.577560425E-2,9.573042755E0
2.316095831E-1,-1.541793823E-2,3.293151855E-2,9.562414856E0
2.415825832E-1,-8.981323242E-3,2.320175171E-2,9.625433807E0
2.515555832E-1,-1.152603149E-2,4.939727783E-3,9.722731476E0
2.615285832E-1,-1.092727661E-2,-1.017883301E-2,9.796078949E0
2.715015833E-1,-1.377136230E-2,-2.020797729E-2,9.830507355E0
2.814745833E-1,-9.131011963E-3,-2.275268555E-2,9.830207977E0
2.914475831E-1,-7.035369873E-3,2.245330811E-3,9.786798248E0
3.014205832E-1,-6.137237549E-3,2.395019531E-3,9.720336456E0
3.113935832E-1,-1.227447510E-2,1.990859985E-2,9.666149139E0
3.213665832E-1,-2.694396973E-3,2.424957275E-2,9.643246765E0
3.313395833E-1,-1.377136230E-2,2.454895020E-2,9.662257233E0
3.413125833E-1,-9.879455566E-3,1.317260742E-2,9.698032837E0
3.512855833E-1,7.484436035E-4,-3.293151855E-3,9.748328247E0
3.612585831E-1,-7.484436035E-3,-6.735992432E-3,9.788295135E0
3.712315832E-1,-7.783813477E-3,-1.062789917E-2,9.785451050E0
3.812045832E-1,-2.694396973E-3,-1.077758789E-2,9.764943695E0
3.911775833E-1,-5.089416504E-3,-0.000000000E0,9.737101593E0
4.011505833E-1,-1.167572021E-2,1.122665405E-2,9.726174316E0
4.111235833E-1,-4.939727783E-3,1.257385254E-2,9.681417389E0
4.210965831E-1,-5.688171387E-3,7.185058594E-3,9.667795715E0
4.310695832E-1,-6.137237549E-3,9.280700684E-3,9.701325989E0
4.410425832E-1,1.496887207E-4,-3.742218018E-3,9.740544434E0
4.510155832E-1,-8.232879639E-3,-4.340972900E-3,9.754764862E0
4.609895833E-1,-2.350112915E-2,-7.334747314E-3,9.749525757E0
4.709625833E-1,-1.032852173E-2,-4.939727783E-3,9.742340698E0
4.809355831E-1,-8.382568359E-3,-2.245330811E-3,9.729467468E0
4.909080833E-1,-8.831634521E-3,-6.436614990E-3,9.724677429E0
5.008810833E-1,-1.945953369E-3,1.077758789E-2,9.701026611E0
5.108540833E-1,-1.242416382E-2,1.197509766E-2,9.707463226E0
5.208270831E-1,-5.388793945E-3,2.844085693E-3,9.715546417E0
5.308000832E-1,-9.729766846E-3,2.993774414E-4,9.708960114E0
5.407730832E-1,4.640350342E-3,-1.841171265E-2,9.734856262E0
5.507460833E-1,2.095642090E-3,-7.035369873E-3,9.748178558E0
5.607190833E-1,-4.490661621E-3,5.987548828E-4,9.743238831E0
5.706920833E-1,-1.062789917E-2,-4.490661621E-4,9.746531982E0
5.806650831E-1,-5.987548828E-3,8.083190918E-3,9.715696106E0
5.906380832E-1,-3.143463135E-3,1.496887207E-4,9.699829102E0
6.006110832E-1,-1.332229614E-2,2.095642090E-3,9.708660736E0
6.105840832E-1,-8.232879639E-3,1.047821045E-3,9.709259491E0
6.205570833E-1,-8.831634521E-3,2.395019531E-3,9.719887390E0
6.305300833E-1,-1.287322998E-2,8.382568359E-3,9.742041321E0
6.405030831E-1,2.544708252E-3,-2.395019531E-3,9.744885406E0
6.504760832E-1,-4.490661621E-4,6.137237549E-3,9.727970581E0
