"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.215583231E-3,1.056599393E-1,-4.977581091E-3,1.854974427E-3
1.718858327E-2,-8.728563040E-2,-2.586747520E-3,-1.262666658E-3
2.716158330E-2,-2.273162454E-1,-8.157281205E-3,-2.145770937E-3
3.713458334E-2,-2.839450836E-1,-1.810175553E-2,-3.353439039E-3
4.710758314E-2,-2.538657188E-1,-1.712357625E-2,-3.369417973E-3
5.708058318E-2,-1.489781290E-1,-3.725816961E-3,-1.689113909E-3
6.705358322E-2,-1.226234902E-2,-1.530306879E-3,-2.391922288E-3
7.702658325E-2,1.070347726E-1,5.259262398E-3,9.646856925E-4
8.699958329E-2,1.761091650E-1,1.121675409E-2,3.263526363E-3
9.697258333E-2,1.775321066E-1,1.235373039E-2,1.337892958E-3
1.069465831E-1,1.222020015E-1,5.403146148E-3,1.997025218E-3
1.169195832E-1,3.433712944E-2,9.734369814E-4,1.589463325E-3
1.268925832E-1,-5.046430975E-2,-2.824763302E-3,-2.464400372E-3
1.368655832E-1,-1.084818840E-1,-5.070078187E-3,-1.685639843E-3
1.468385833E-1,-1.187435761E-1,-8.436047472E-3,-1.439563930E-3
1.568115833E-1,-8.642036468E-2,-4.736301489E-3,-4.060386680E-3
1.667845831E-1,-2.898450010E-2,-2.064183354E-5,1.439573476E-3
1.767575832E-1,3.044022247E-2,1.196377911E-3,1.169824507E-3
1.867305832E-1,6.941398978E-2,2.707189880E-3,2.165314043E-3
1.967035832E-1,7.912290841E-2,6.258965470E-3,5.955880624E-5
2.066765833E-1,5.872176588E-2,5.454691127E-3,7.101690862E-4
2.166495833E-1,1.737395301E-2,1.990245655E-4,-1.372550032E-4
2.266225833E-1,-2.740363777E-2,-7.722303271E-4,8.270755643E-4
2.365955831E-1,-4.967593402E-2,-2.547790762E-3,-1.698793960E-3
2.465685832E-1,-5.550719053E-2,-2.235668246E-3,-1.679885550E-3
2.565415832E-1,-3.474776447E-2,-1.440029591E-3,-3.566823434E-4
2.665145833E-1,-5.412512925E-3,-1.232036855E-3,6.404051674E-4
2.764875833E-1,2.334643900E-2,1.688535325E-3,9.713666514E-4
2.864605833E-1,3.809608892E-2,1.356172375E-3,-3.540885809E-4
2.964335831E-1,3.700226173E-2,1.178493723E-3,1.353611820E-3
3.064065832E-1,1.904030517E-2,-9.902473539E-5,3.341537667E-4
3.163795832E-1,-5.375916604E-3,-6.990712136E-4,-8.483679267E-5
3.263525832E-1,-2.318660542E-2,-1.680376008E-4,-5.929679610E-4
3.363255833E-1,-2.968437970E-2,-2.509898506E-3,-2.591919852E-3
3.462985833E-1,-2.133616805E-2,-7.892297581E-4,-1.542367972E-3
3.562725831E-1,-8.177603595E-3,2.204817720E-3,3.692141327E-4
3.662455832E-1,9.468501434E-3,2.131048590E-3,5.939849070E-4
3.762185832E-1,1.810728945E-2,9.179674089E-4,-1.244771178E-3
3.861915832E-1,2.191427909E-2,1.311583444E-3,1.938683563E-4
3.961645833E-1,1.294619404E-2,-2.606391441E-3,-1.898140181E-5
4.061375833E-1,-6.467895582E-5,2.416863106E-3,6.928815274E-4
4.161105831E-1,-1.410895772E-2,-9.745159186E-4,6.868486525E-4
4.260835832E-1,-1.759903133E-2,-3.089066129E-3,-8.559206035E-4
4.360565832E-1,-1.344975363E-2,1.523550600E-5,-1.582147437E-3
4.460295832E-1,-5.760941189E-3,5.278941244E-4,-7.602958940E-4
4.560025833E-1,4.106942564E-3,-1.709040720E-3,-9.129277896E-5
4.659755833E-1,1.134461537E-2,-1.871760003E-3,-1.965092961E-3
4.759485833E-1,1.607006788E-2,1.651172526E-3,3.651851439E-4
4.859215831E-1,6.939685438E-3,-5.671288818E-5,-3.501458326E-3
4.958940833E-1,7.670940831E-4,5.974527448E-5,8.070496842E-4
5.058670833E-1,-7.076714188E-3,-1.267307438E-3,-1.034526154E-3
5.158400831E-1,-8.581133559E-3,1.863504760E-3,9.878783021E-4
5.258130832E-1,-1.072338037E-2,9.218109772E-4,-4.433044523E-4
5.357860832E-1,-3.907651640E-3,-2.378392965E-4,4.705186002E-4
5.457590832E-1,1.271131914E-3,-4.817852750E-4,-1.596893417E-3
5.557320833E-1,4.628841300E-3,1.746939495E-3,1.955664949E-3
5.657050833E-1,8.109327406E-3,-2.430760767E-3,5.295422161E-4
5.756790831E-1,5.459382664E-3,2.575604245E-3,5.682505434E-4
5.856520832E-1,9.710760787E-5,6.184726954E-5,3.743724083E-4
5.956250832E-1,-5.958563183E-3,7.505025715E-4,-2.061658306E-4
6.055980832E-1,-8.913872764E-3,1.804580912E-3,7.967805723E-4
6.155710833E-1,-7.718078792E-3,2.654129639E-4,-4.486891849E-4
