time[s],ax[m/s^2],ay[m/s^2],az[m/s^2]
0,-0.01348,0.03282,0.35626
0.002,-0.01348,0.03282,0.35626
0.013,-0.02506,0.0527,0.21625
0.031,-0.07459,0.19686,-0.59609
0.043,0.0157,-0.02285,0.26016
0.053,0.0157,-0.02285,0.26016
0.064,-0.01605,0.00946,0.2946
0.075,0.05394,0.10176,0.10825
0.088,0.01096,-0.02598,0.10402
0.099,0.01096,-0.02598,0.10402
0.11,-0.04509,0.04001,0.11264
0.12,-0.04509,0.04001,0.11264
0.139,0.05057,-0.00081,0.06738
0.151,0.05057,-0.00081,0.06738
0.161,0.04958,0.0941,0.03852
0.172,0.02863,0.22036,0.05221
0.188,0.05266,0.28654,0.01496
0.199,0.05266,0.28654,0.01496
0.209,0.00529,0.29053,0.05305
0.22,0.00529,0.29053,0.05305
0.23,0.04436,0.2188,0.06519
0.241,0.0244,0.11464,0.08626
0.254,0.0244,0.11464,0.08626
0.265,0.02556,0.16838,0.05966
0.276,0.04769,0.13849,0.05113
0.287,0.04769,0.13849,0.05113
0.305,0.00314,-0.06905,0.06479
0.316,0.00314,-0.06905,0.06479
0.327,-0.04237,-0.0261,0.07988
0.338,-0.0851,-0.02014,0.11185
0.355,0.06974,-0.0759,0.03727
0.366,0.06974,-0.0759,0.03727
0.377,0.02287,0.05727,0.0946
0.387,0.02287,0.05727,0.0946
0.398,0.05296,0.25776,0.04318
0.408,0.00379,0.50964,0.06928
0.42,0.00379,0.50964,0.06928
0.432,0.05775,0.60864,0.03885
0.442,0.03035,0.30164,0.07125
0.453,0.03035,0.30164,0.07125
0.471,0.08404,0.18499,0.05741
0.482,0.03718,0.04602,0.10403
0.492,0.05259,0.04189,0.07303
0.503,0.05259,0.04189,0.07303
0.521,0.03342,-0.21851,0.0718
0.533,0.01953,-0.38689,0.09725
0.542,0.02859,-0.70524,0.1168
0.553,0.02859,-0.70524,0.1168
0.57,0.03188,-0.86988,0.0592
0.582,0.02037,-0.41143,0.08235
0.593,0.06361,-0.13911,0.08594
0.604,0.06361,-0.13911,0.08594
0.621,-0.02345,-0.18699,0.11005
0.631,-0.02345,-0.18699,0.11005
0.642,-0.14656,0.42433,0.16116
0.653,-0.14656,0.42433,0.16116
0.664,-0.22934,0.61449,0.22172
0.674,0.3097,-0.13164,-0.15682
0.687,0.3097,-0.13164,-0.15682
0.697,-0.03669,-0.06033,-0.04908
0.708,0.05187,0.22319,0.12448
0.719,0.05187,0.22319,0.12448
0.738,-0.01373,-0.18487,0.09754
0.749,-0.01373,-0.18487,0.09754
0.76,0.11326,-0.01116,0.05405
0.771,0.03024,0.16625,0.07213
0.788,0.03368,0.53629,0.06931
0.799,0.03368,0.53629,0.06931
0.809,0.04715,0.7144,0.04881
0.82,0.04715,0.7144,0.04881
0.831,0.07832,0.7383,-0.05859
0.841,0.0941,0.33139,-0.02936
0.854,0.0941,0.33139,-0.02936
0.865,-0.06699,0.21873,0.13264
0.876,0.12772,0.38428,-0.04641
0.886,0.12772,0.38428,-0.04641
0.905,0.02479,0.29001,0.02052
0.916,0.02479,0.29001,0.02052
0.928,0.02676,0.29382,0.05038
0.938,-0.00629,-0.01764,0.1115
0.954,-0.00629,-0.01764,0.1115
0.965,0.01823,0.02186,0.0629
0.976,0.06231,-0.00789,0.01723
0.986,0.06231,-0.00789,0.01723
0.996,-0.05223,0.40752,0.08531
1.007,0.0047,0.40551,0.09247
1.02,0.0047,0.40551,0.09247
1.031,0.06935,-0.22927,0.02933
1.042,0.00524,-0.08595,-0.00346
1.053,0.00524,-0.08595,-0.00346
1.071,-0.06229,-0.0094,0.07984
1.082,-0.06229,-0.0094,0.07984
1.092,0.0954,-0.21034,0.02066
1.103,0.0954,-0.21034,0.02066
1.121,0.10442,0.34636,-0.07285
1.133,0.10442,0.34636,-0.07285
1.145,-0.05854,0.18506,0.11207
1.155,0.16733,0.79102,-0.11518
1.17,0.16733,0.79102,-0.11518
1.182,0.16952,0.33734,-0.00643
1.193,0.01984,0.49539,0.03028
1.203,0.01984,0.49539,0.03028
1.213,0.06615,0.3271,0.00143
1.224,-0.15309,0.38886,0.03784
1.237,-0.15309,0.38886,0.03784
1.247,-0.06618,0.28689,0.08393
1.258,-0.01689,0.12151,0.09557
1.269,-0.01689,0.12151,0.09557
1.288,0.09926,-0.25495,0.05756
1.3,0.09926,-0.25495,0.05756
1.312,0.06671,-0.36813,0.06667
1.323,0.05936,-0.49324,0.05689
1.337,0.07242,-0.25759,0.03374
1.348,0.07242,-0.25759,0.03374
1.359,0.03138,-0.08175,0.06452
1.37,0.03138,-0.08175,0.06452
1.38,0.08762,-0.07533,0.00463
1.391,-0.01918,-0.06106,0.05228
1.404,-0.01918,-0.06106,0.05228
1.415,-0.20009,0.04691,0.1231
1.426,0.05642,0.32317,0.08076
1.437,0.05642,0.32317,0.08076
1.454,0.09033,0.58596,-0.03348
1.464,0.09033,0.58596,-0.03348
1.475,-0.17821,1.64986,-0.12543
1.486,-0.17821,1.64986,-0.12543
1.496,0.22086,-0.08553,-0.12867
1.507,-0.03528,0.3198,0.15363
1.52,-0.03528,0.3198,0.15363
1.531,0.02084,0.42315,0.03681
1.542,-0.00273,0.12303,0.0337
1.553,-0.00273,0.12303,0.0337
1.571,0.06334,0.09987,-0.00922
1.582,0.01671,0.22194,0.10042
1.593,0.01115,0.0824,0.05013
1.603,0.01115,0.0824,0.05013
1.622,0.03191,0.00276,0.05104
1.634,0.03191,0.00276,0.05104
1.646,0.07354,-0.2523,0.04619
1.657,0.07605,-0.25436,0.02963
1.671,0.07605,-0.25436,0.02963
1.682,0.05371,-0.01457,0.01509
1.693,0.015,0.041,0.04588
1.703,0.015,0.041,0.04588
1.714,0.00894,0.34551,0.04263
1.725,0.04888,0.35747,0.00718
1.737,0.04888,0.35747,0.00718
1.748,0.0508,0.26248,0.00282
1.759,0.04556,0.19151,0.01885
1.77,0.04556,0.19151,0.01885
1.788,0.0186,0.09026,0.02325
1.799,0.0186,0.09026,0.02325
1.808,0.02201,0.07274,0.04853
1.819,0.02201,0.07274,0.04853
1.829,0.01978,0.1836,0.03609
1.839,0.04721,0.12568,0.03736
1.854,0.04721,0.12568,0.03736
1.865,0.02447,0.0345,0.00499
1.876,0.03532,0.04929,0.03854
1.887,0.03532,0.04929,0.03854
1.904,0.04048,-0.03223,0.03766
1.916,0.04048,-0.03223,0.03766
1.926,0.04336,0.05382,0.0425
1.937,0.04336,0.05382,0.0425
1.957,0.10252,0.35512,0.00506
1.958,-0.03039,-0.28365,0.06572
