time[s],ar[rad],br[rad],gr[rad],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2]
0,6.27625,0.00799,1.56537,-0.34807,0.05664,-0.26687,-0.26838,0.05574,0.34705
0.031,6.27695,0.00797,1.56415,0.06202,-0.02506,-0.41472,-0.41444,-0.02196,-0.06497
0.081,6.27548,0.00875,1.56442,-0.11101,0.08031,0.1254,0.12529,0.07837,0.1125
0.131,6.2751,0.00856,1.56419,-0.15485,-0.02075,-0.05817,-0.05937,-0.02159,0.15428
0.181,6.27484,0.00866,1.56392,-0.1221,-0.01595,-0.16766,-0.16863,-0.01559,0.12081
0.231,6.27471,0.00863,1.56446,-0.22397,0.0963,0.16775,0.16713,0.09295,0.22585
0.282,6.27481,0.0085,1.56413,-0.10143,-0.11093,-0.23687,-0.23847,-0.10978,0.0989
0.332,6.27485,0.00864,1.56446,-0.12895,0.12233,0.07986,0.08005,0.12055,0.13051
0.382,6.275,0.00838,1.56443,-0.01027,-0.04551,-0.08395,-0.08438,-0.0449,0.00935
0.432,6.27507,0.00852,1.5643,0.0135,0.04547,-0.052,-0.05154,0.046,-0.01345
0.482,6.27519,0.00836,1.56457,-0.0562,0.04133,0.09634,0.09631,0.04008,0.05714
0.534,6.27531,0.00848,1.56432,0.0391,-0.04017,-0.12721,-0.12727,-0.03883,-0.04026
0.584,6.27536,0.00846,1.56463,-0.0381,0.10227,0.15693,0.15748,0.1007,0.03993
0.634,6.27551,0.00841,1.56443,-0.0387,-0.08154,-0.1542,-0.15507,-0.08067,0.03703
0.686,6.27558,0.00849,1.56466,-0.04827,0.13354,0.10248,0.10319,0.13234,0.05003
0.737,6.27556,0.00829,1.56455,0.05409,-0.0415,-0.08681,-0.08678,-0.04038,-0.05497
0.788,6.27557,0.00845,1.56455,0.03313,0.08588,-0.00143,-0.00057,0.08617,-0.03241
0.838,6.27565,0.00827,1.56472,-0.03089,-0.01109,0.06835,0.06807,-0.01187,0.03122
0.89,6.27562,0.00836,1.56452,0.02176,-0.02141,-0.10716,-0.10718,-0.02041,-0.02261
0.941,6.27571,0.00833,1.56479,-0.06007,0.10582,0.12159,0.12201,0.1044,0.06168
0.992,6.27563,0.00827,1.56459,0.01758,-0.08138,-0.10098,-0.10148,-0.08047,-0.01888
1.043,6.27565,0.00845,1.56471,-0.03809,0.12427,0.08723,0.08793,0.12328,0.03967
1.094,6.27569,0.00823,1.56475,-0.08625,-0.05229,-0.0008,-0.00172,-0.05299,0.08581
1.145,6.27569,0.00837,1.56459,-0.02208,0.0776,-0.05073,-0.05028,0.0778,0.02241
1.197,6.27574,0.00817,1.56483,-0.06634,0.05097,0.09716,0.09714,0.0497,0.06733
1.248,6.2757,0.0082,1.56465,-0.01757,-0.06468,-0.09233,-0.09292,-0.06413,0.01647
1.299,6.27584,0.00823,1.56478,-0.14865,0.1378,0.10784,0.10794,0.13578,0.15043
1.349,6.27587,0.00808,1.56472,-0.21284,-0.09447,-0.04942,-0.05142,-0.09581,0.21176
