Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.000,0.000,0.000,-9.800
0.100,0.000,0.000,-9.800
0.200,0.000,0.000,-9.800
0.300,0.000,0.000,-9.800
0.400,0.000,0.000,-9.800
0.500,0.000,0.000,-9.800
0.600,0.000,0.000,-9.800
0.700,0.000,0.000,-9.800
0.800,0.000,0.000,-9.800
0.900,0.000,0.000,-9.800
1.000,0.000,0.000,-9.800
1.100,0.000,0.000,-9.800
1.200,0.000,0.000,-9.800
1.300,0.000,0.000,-9.800
1.400,0.000,0.000,-9.800
1.500,0.000,0.000,-9.800
1.600,0.000,0.000,-9.800
1.700,0.000,0.000,-9.800
1.800,0.000,0.000,-9.800
1.900,0.000,0.000,-9.800
2.000,0.000,0.000,-9.800
2.100,0.000,0.000,-9.800
2.200,0.000,0.000,-9.800
2.300,0.000,0.000,-9.800
2.400,0.000,0.000,-9.800
2.500,0.000,0.000,-9.800
2.600,0.000,0.000,-9.800
2.700,0.000,0.000,-9.800
2.800,0.000,0.000,-9.800
2.900,0.000,0.000,-9.800
3.000,0.000,0.000,-9.800
3.100,0.000,0.000,-9.800
3.200,0.000,0.000,-9.800
3.300,0.000,0.000,-9.800
3.400,0.000,0.000,-9.800
3.500,0.000,0.000,-9.800
3.600,0.000,0.000,-9.800
3.700,0.000,0.000,-9.800
3.800,0.000,0.000,-9.800
3.900,0.000,0.000,-9.800
4.000,0.000,0.000,-9.800
4.100,0.000,0.000,-9.800
4.200,0.000,0.000,-9.800
4.300,0.000,0.000,-9.800
4.400,0.000,0.000,-9.800
4.500,0.000,0.000,-9.800
4.600,0.000,0.000,-9.800
4.700,0.000,0.000,-9.800
4.800,0.000,0.000,-9.800
4.900,0.000,0.000,-9.800
5.000,0.000,0.000,-9.800
5.100,0.000,0.000,-9.800
5.200,0.000,0.000,-9.800
5.300,0.000,0.000,-9.800
5.400,0.000,0.000,-9.800
5.500,0.000,0.000,-9.800
5.600,0.000,0.000,-9.800
5.700,0.000,0.000,-9.800
5.800,0.000,0.000,-9.800
5.900,0.000,0.000,-9.800
6.000,0.000,0.000,-9.800
6.100,0.000,0.000,-9.800
6.200,0.000,0.000,-9.800
6.300,0.000,0.000,-9.800
