time[s],ar[rad],br[rad],gr[rad],ax[m/s^2],ay[m/s^2],az[m/s^2]
0,0.1117,1.62316,-0.1117,0,0.2,0
0.009,0.1117,1.62316,-0.1117,0,0.2,0
0.018,0.14137,1.62316,-0.14137,-0.1,0.1,0
0.03,0.14137,1.62316,-0.14137,-0.1,0.1,0
0.038,0.14486,1.6249,-0.14312,-0.1,0,-0.1
0.051,0.14486,1.6249,-0.14312,-0.1,0,-0.1
0.057,0.14835,1.6249,-0.14661,-0.1,0.1,-0.1
0.067,0.15533,1.6249,-0.15533,-0.1,0.1,-0.1
0.078,0.15533,1.6249,-0.15533,-0.1,0.1,-0.1
0.088,0.16406,1.6249,-0.16406,0,0.1,0
0.098,0.16406,1.6249,-0.16406,0,0.1,0
0.107,0.17104,1.6249,-0.17104,-0.1,0.2,0.1
0.121,0.1693,1.6249,-0.16755,0,0.1,-0.1
0.127,0.1693,1.6249,-0.16755,0,0.1,-0.1
0.138,0.16232,1.6249,-0.16057,0,0.1,-0.1
0.15,0.16232,1.6249,-0.16057,0,0.1,-0.1
0.157,0.15882,1.6249,-0.15708,0,0.1,-0.1
0.167,0.15533,1.6249,-0.15359,-0.2,0,-0.1
0.178,0.15533,1.6249,-0.15359,-0.2,0,-0.1
0.188,0.15184,1.6249,-0.15184,-0.2,0.1,0
0.201,0.15184,1.6249,-0.15184,-0.2,0.1,0
0.208,0.15533,1.6249,-0.15533,0,0.3,0.1
0.218,0.15533,1.6249,-0.15533,0,0.3,0.1
0.227,0.15533,1.6249,-0.15533,0,0.3,0.1
0.237,0.15359,1.62316,-0.15184,-0.1,0,-0.2
0.25,0.15359,1.62316,-0.15184,-0.1,0,-0.2
0.258,0.13788,1.62141,-0.13788,0,-0.1,-0.2
0.269,0.14312,1.62141,-0.14312,-0.1,0,-0.1
0.278,0.14312,1.62141,-0.14312,-0.1,0,-0.1
0.288,0.15359,1.62141,-0.15533,0,0.1,0.1
0.3,0.15359,1.62141,-0.15533,0,0.1,0.1
0.307,0.16581,1.62141,-0.16406,0,0.1,0.2
0.318,0.17453,1.62141,-0.17279,0,0.1,0
0.332,0.17453,1.62141,-0.17279,0,0.1,0
0.339,0.17802,1.62141,-0.17628,-0.1,0.1,-0.1
0.348,0.17802,1.62141,-0.17628,-0.1,0.1,-0.1
0.358,0.17628,1.62316,-0.17453,0,0,0
0.368,0.17279,1.62316,-0.1693,0,0.1,0
0.377,0.17279,1.62316,-0.1693,0,0.1,0
0.39,0.16406,1.62316,-0.16232,0.1,0.2,0
0.397,0.16406,1.62316,-0.16232,0.1,0.2,0
0.408,0.1501,1.62316,-0.14486,0,0.1,-0.1
0.418,0.12566,1.62316,-0.12217,-0.1,0.1,-0.1
0.428,0.12566,1.62316,-0.12217,-0.1,0.1,-0.1
0.441,0.10647,1.62316,-0.10297,0.1,0.1,0
0.448,0.10647,1.62316,-0.10297,0.1,0.1,0
