time[s],awx[m/s^2],awy[m/s^2],awz[m/s^2]
0,0.49269,0.63244,-0.79283
0.005,-1.36442,-0.47797,0.93294
0.026,-0.05734,0.56018,-0.547
0.047,-0.36712,0.54857,-0.657
0.067,-0.34086,0.32763,-0.56658
0.087,-0.33203,-0.18902,-0.05635
0.108,-0.4528,0.36233,-0.60946
0.129,-0.32294,-0.25786,-0.03601
0.149,-0.28183,-0.0587,-0.215
0.169,-0.70365,0.14852,-0.14538
0.19,-0.52131,0.10624,-0.17255
0.212,-0.76476,-0.12326,0.08878
0.232,-0.78065,-0.15942,0.09835
0.252,-0.77728,-0.08491,0.26248
0.273,-0.67497,-0.15455,0.53846
0.294,-0.69302,0.01065,0.45502
0.314,-0.38467,-0.0919,0.45963
0.334,-0.38627,-0.05516,0.25973
0.354,-0.54672,-0.09894,0.13851
0.374,-0.5232,-0.17277,-0.07431
0.395,-0.57019,-0.22479,-0.12661
0.416,-0.98678,-0.20659,-0.375
0.436,-1.15846,-0.13275,-0.35614
0.457,-1.27579,-0.19293,-0.28487
0.478,-1.3304,-0.17057,-0.15917
0.498,-1.29112,-0.30919,-0.06782
0.519,-2.0703,-0.49771,0.1241
0.539,-2.17234,-0.20796,0.11371
0.56,-1.36406,-0.61309,0.12817
0.58,-1.81429,-0.42439,0.31097
0.601,-1.67977,-0.4444,0.49865
0.621,-1.17404,-0.65764,0.83666
0.643,-1.13093,-0.49403,0.92398
0.664,-1.08745,-0.41351,1.22075
0.684,-0.83637,0.08489,1.39658
0.704,-0.69032,0.04749,1.58591
0.725,-0.46708,0.20907,1.35753
0.746,-0.3412,0.12722,1.3291
0.766,0.25798,0.17686,0.75493
0.789,0.35593,0.21383,0.52908
0.81,0.58511,0.21973,0.43312
0.831,0.48065,0.30904,0.3552
0.851,0.58913,0.31412,-0.19849
0.872,0.80038,0.51715,-0.40741
0.893,0.95286,0.3133,-0.2493
0.913,0.86421,0.27351,-0.10593
0.933,0.43585,0.33284,-0.39457
0.954,0.25146,0.45384,-0.42575
0.974,0.38377,0.34942,-0.84696
0.995,0.1175,0.38191,-1.16018
1.016,-0.19417,0.16005,-1.17582
1.036,-0.23714,0.13068,-1.07658
1.056,-0.30182,0.2201,-1.09259
1.077,-0.03834,0.3445,-1.21435
1.098,-0.07686,0.36859,-1.05525
1.119,-0.17672,0.26553,-0.81916
1.139,-0.46136,0.20596,-0.63535
1.16,-0.50628,0.18747,-0.58739
1.18,-0.65224,0.37404,-0.47559
1.2,-0.80841,0.48275,-0.06624
1.223,-0.72835,0.46936,0.27072
1.244,-0.80985,0.49241,0.69048
1.265,-0.65634,0.62088,0.71805
1.286,-0.37432,0.60395,1.08302
1.306,-0.13159,0.56126,1.08514
1.326,-0.11462,0.39744,1.42094
1.347,-0.28256,0.30195,1.40131
1.367,1.00249,0.24187,0.50422
1.387,1.72343,0.12362,0.26612
1.408,2.00884,-0.21493,0.51256
1.429,1.0268,-0.17595,0.76575
1.449,0.80049,-0.14538,0.69679
1.47,0.92328,0.11962,0.29235
1.49,1.11506,0.41204,-0.25202
1.511,1.11497,0.21379,-0.16414
1.532,0.86227,0.01252,-0.14094
1.552,0.71579,-0.4486,0.10268
1.572,0.69196,-0.25581,-0.31342
1.593,0.67169,-0.61973,-0.34028
1.614,0.53505,-0.47173,-0.63202
1.634,0.43355,-0.32344,-0.99892
1.655,0.61408,-0.28155,-1.08577
1.675,0.5514,-0.28018,-0.96766
1.696,0.8732,-0.12656,-0.98694
1.717,0.72159,0.00437,-0.5389
1.737,0.41045,0.02165,-0.40335
1.758,0.26859,0.11553,-0.37397
1.778,0.07058,0.16512,-0.2256
1.798,-0.34291,0.11377,0.01484
1.819,-0.30023,0.14837,0.19454
1.84,-0.30093,0.14306,0.42183
1.86,-0.18224,0.20962,0.34153
1.881,-0.13841,0.20692,0.26947
1.902,-0.06985,0.1074,-0.11257
1.922,-0.27233,-0.09691,-0.27192
1.943,-0.53866,-0.19167,-0.43504
1.964,-0.62104,-0.27146,-0.49682
1.984,-0.86337,-0.26843,-0.40548
2.004,-1.07133,-0.20762,-0.17543
2.025,-1.08164,-0.13039,-0.07601
2.046,-1.12912,0.06341,0.39564
2.067,-0.91031,0.26759,0.79242
2.087,-1.00372,0.25274,1.08743
2.107,-0.98057,0.24048,1.2115
2.128,-0.93044,0.17368,1.15572
2.148,-0.82991,0.00063,0.96406
2.169,-0.67885,-0.17575,0.70025
2.19,-0.66038,-0.28717,0.49086
2.21,-0.71526,-0.4063,0.26341
2.231,-0.64472,-0.4253,0.08014
