time[s],ar[rad],br[rad],gr[rad],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2]
0,0.04381,-0.05992,0.02039,-0.3364,1.45025,-0.71778,-0.41216,1.38836,-0.79634
0.042,0.04454,-0.06574,0.01652,-0.32622,1.69037,0.19086,-0.39837,1.68355,0.08475
0.093,0.04161,-0.07234,0.00885,-0.04433,1.81959,0.65676,-0.11595,1.85911,0.52388
0.144,0.02733,-0.08379,0.00109,0.70247,1.61337,2.90266,0.65481,1.86917,2.75669
0.194,0.00147,-0.08059,-0.0119,0.01666,0.98384,1.88863,-0.00748,1.13268,1.80336
0.245,6.25415,-0.09552,-0.01246,-0.02887,0.07475,0.60092,-0.03252,0.13269,0.59064
0.296,6.23972,-0.10267,-0.00733,0.32029,0.56721,0.32125,0.34358,0.58301,0.26375
0.347,6.21369,-0.08985,-0.00824,0.01856,0.27732,-0.65907,0.03901,0.21489,-0.68112
0.399,6.18724,-0.0849,0.00029,0.55798,-0.65442,-0.9463,0.48498,-0.78239,-0.88755
0.45,6.16266,-0.0892,0.00968,0.1571,-0.05149,-0.39825,0.14168,-0.10469,-0.39357
0.501,6.15418,-0.08102,0.01217,-0.14632,0.61455,-1.65143,-0.1034,0.49647,-1.69385
0.552,6.14972,-0.07312,0.00465,0.52013,1.29883,-1.32357,0.66887,1.11944,-1.41732
0.603,6.14251,-0.06458,0.00457,0.00295,0.99841,-0.71612,0.1329,0.94078,-0.77907
0.654,6.14125,-0.05158,0.0059,0.53061,1.27758,-0.81398,0.69505,1.14696,-0.88188
0.705,6.13681,-0.0426,0.01359,0.30791,1.52299,-0.09914,0.52455,1.45628,-0.16807
0.756,6.12581,-0.02633,0.00549,0.09764,1.26466,0.81533,0.30235,1.25378,0.7812
0.807,6.11134,-0.01924,0.00702,-1.24607,0.18704,1.82419,-1.17706,0.42988,1.82895
0.858,6.12193,-0.02262,0.02755,-0.97578,0.44135,1.58087,-0.84309,0.62101,1.59676
0.909,6.12403,-0.02733,0.00601,-0.36445,-0.75808,2.98327,-0.44931,-0.61275,3.00501
0.961,6.13192,-0.02215,0.00106,-1.46768,-0.71625,1.93064,-1.55035,-0.44473,1.94759
1.011,6.15205,-0.00784,0.00225,0.41098,-0.48379,-0.56052,0.34237,-0.53756,-0.55763
1.062,6.1669,0.01936,0.00963,-0.52926,-0.02625,-2.31979,-0.5457,0.08243,-2.31465
1.112,6.18201,0.04834,0.01776,0.22981,0.55306,-3.84899,0.23518,0.7185,-3.82124
1.162,6.18069,0.05991,0.00958,-0.75545,0.39854,-2.75265,-0.72015,0.63922,-2.7165
1.212,6.17864,0.05949,0.00181,-0.77837,0.64006,-1.14532,-0.70241,0.78452,-1.10383
1.263,6.17659,0.05654,-0.02039,-0.32918,0.33766,0.70454,-0.30985,0.33254,0.71565
